participant_id,page_role,png_path,pdf_path
P001,page_cover,DATA\STAGING\respondent_001\PNG\EMHA20260107_13335052.png,DATA\STAGING\respondent_001\PDF\EMHA20260107_13324428.pdf
P001,page_selfreport,DATA\STAGING\respondent_001\PNG\EMHA20260107_13361645.png,DATA\STAGING\respondent_001\PDF\EMHA20260107_13352129.pdf
P001,page_drawing,DATA\STAGING\respondent_001\PNG\EMHA20260107_13403439.png,DATA\STAGING\respondent_001\PDF\EMHA20260107_13411672.pdf
P001,page_writing,DATA\STAGING\respondent_001\PNG\EMHA20260107_13435629.png,DATA\STAGING\respondent_001\PDF\EMHA20260107_13422869.pdf
P002,page_cover,DATA\STAGING\respondent_002\PNG\EMHA20260107_13575635.png,DATA\STAGING\respondent_002\PDF\EMHA20260107_14021870.pdf
P002,page_selfreport,DATA\STAGING\respondent_002\PNG\EMHA20260107_13590957.png,DATA\STAGING\respondent_002\PDF\EMHA20260107_14552814.pdf
P002,page_drawing,DATA\STAGING\respondent_002\PNG\EMHA20260107_14004494.png,DATA\STAGING\respondent_002\PDF\EMHA20260107_14570197.pdf
P002,page_writing,DATA\STAGING\respondent_002\PNG\EMHA20260107_14012550.png,DATA\STAGING\respondent_002\PDF\EMHA20260107_14575175.pdf
P003,page_cover,DATA\STAGING\respondent_003\PNG\EMHA20260107_15053610.png,DATA\STAGING\respondent_003\PDF\EMHA20260107_15011008.pdf
P003,page_selfreport,DATA\STAGING\respondent_003\PNG\EMHA20260107_15074338.png,DATA\STAGING\respondent_003\PDF\EMHA20260107_15023095.pdf
P003,page_drawing,DATA\STAGING\respondent_003\PNG\EMHA20260107_15083223.png,DATA\STAGING\respondent_003\PDF\EMHA20260107_15034566.pdf
P003,page_writing,DATA\STAGING\respondent_003\PNG\EMHA20260107_15092442.png,DATA\STAGING\respondent_003\PDF\EMHA20260107_15042683.pdf
P004,page_cover,DATA\STAGING\respondent_004\PNG\EMHA20260107_15130100.png,DATA\STAGING\respondent_004\PDF\EMHA20260107_15165996.pdf
P004,page_selfreport,DATA\STAGING\respondent_004\PNG\EMHA20260107_15141155.png,DATA\STAGING\respondent_004\PDF\EMHA20260107_15193928.pdf
P004,page_drawing,DATA\STAGING\respondent_004\PNG\EMHA20260107_15145328.png,DATA\STAGING\respondent_004\PDF\EMHA20260107_15204696.pdf
P004,page_writing,DATA\STAGING\respondent_004\PNG\EMHA20260107_15155592.png,DATA\STAGING\respondent_004\PDF\EMHA20260107_15221294.pdf
P005,page_cover,DATA\STAGING\respondent_005\PNG\EMHA20260107_16192386.png,DATA\STAGING\respondent_005\PDF\EMHA20260107_15235238.pdf
P005,page_selfreport,DATA\STAGING\respondent_005\PNG\EMHA20260107_16195917.png,DATA\STAGING\respondent_005\PDF\EMHA20260107_16165771.pdf
P005,page_drawing,DATA\STAGING\respondent_005\PNG\EMHA20260107_16203361.png,DATA\STAGING\respondent_005\PDF\EMHA20260107_16174063.pdf
P005,page_writing,DATA\STAGING\respondent_005\PNG\EMHA20260107_16214380.png,DATA\STAGING\respondent_005\PDF\EMHA20260107_16183478.pdf
P006,page_cover,DATA\STAGING\respondent_006\PNG\EMHA20260107_16232284.png,DATA\STAGING\respondent_006\PDF\EMHA20260107_16284816.pdf
P006,page_selfreport,DATA\STAGING\respondent_006\PNG\EMHA20260107_16241195.png,DATA\STAGING\respondent_006\PDF\EMHA20260107_16294476.pdf
P006,page_drawing,DATA\STAGING\respondent_006\PNG\EMHA20260107_16253712.png,DATA\STAGING\respondent_006\PDF\EMHA20260107_16302456.pdf
P006,page_writing,DATA\STAGING\respondent_006\PNG\EMHA20260107_16274744.png,DATA\STAGING\respondent_006\PDF\EMHA20260107_16310837.pdf
P007,page_cover,DATA\STAGING\respondent_007\PNG\EMHA20260107_16451526.png,DATA\STAGING\respondent_007\PDF\EMHA20260107_16322112.pdf
P007,page_selfreport,DATA\STAGING\respondent_007\PNG\EMHA20260107_16470431.png,DATA\STAGING\respondent_007\PDF\EMHA20260107_16360985.pdf
P007,page_drawing,DATA\STAGING\respondent_007\PNG\EMHA20260107_16495215.png,DATA\STAGING\respondent_007\PDF\EMHA20260107_16390987.pdf
P007,page_writing,DATA\STAGING\respondent_007\PNG\EMHA20260107_16535551.png,DATA\STAGING\respondent_007\PDF\EMHA20260107_16431369.pdf
P008,page_cover,DATA\STAGING\respondent_008\PNG\EMHA20260107_16560031.png,DATA\STAGING\respondent_008\PDF\EMHA20260107_17045336.pdf
P008,page_selfreport,DATA\STAGING\respondent_008\PNG\EMHA20260107_16570580.png,DATA\STAGING\respondent_008\PDF\EMHA20260107_17065274.pdf
P008,page_drawing,DATA\STAGING\respondent_008\PNG\EMHA20260107_16584036.png,DATA\STAGING\respondent_008\PDF\EMHA20260107_17083212.pdf
P008,page_writing,DATA\STAGING\respondent_008\PNG\EMHA20260107_16593566.png,DATA\STAGING\respondent_008\PDF\EMHA20260107_17090988.pdf
P009,page_cover,DATA\STAGING\respondent_009\PNG\EMHA20260107_17213743.png,DATA\STAGING\respondent_009\PDF\EMHA20260107_17155702.pdf
P009,page_selfreport,DATA\STAGING\respondent_009\PNG\EMHA20260107_17272785.png,DATA\STAGING\respondent_009\PDF\EMHA20260107_17170069.pdf
P009,page_drawing,DATA\STAGING\respondent_009\PNG\EMHA20260107_17283881.png,DATA\STAGING\respondent_009\PDF\EMHA20260107_17181229.pdf
P009,page_writing,DATA\STAGING\respondent_009\PNG\EMHA20260107_17291857.png,DATA\STAGING\respondent_009\PDF\EMHA20260107_17201103.pdf
